"Symbol","Timestamp","Human Time","NOPE","Stock Price","Stock Volume","Call Net Delta * Volume","Put Net Delta * Volume"
"SPY","1609857060000","January 5, 2021 9:31 am","0.19305949139012","368.855","2387606","222283.7","-217674.2"
"SPY","1609857120000","January 5, 2021 9:32 am","-8.1477054004974","369.075","2647608","425174.4","-640893.7"
"SPY","1609857180000","January 5, 2021 9:33 am","-7.4399587148507","369.17","2817478","674697.7","-884316.9"
"SPY","1609857240000","January 5, 2021 9:34 am","-4.27863312295","369.26","3117325","966995.6","-1100374.5"
"SPY","1609857240000","January 5, 2021 9:34 am","-5.4461954757299","369.19","2981608","862088.5","-1024472.7"
"SPY","1609857300000","January 5, 2021 9:35 am","-1.2220641126026","369.265","3209447","1093553.5","-1132775"
"SPY","1609857300000","January 5, 2021 9:35 am","-3.7033977690722","369.275","3160927","1002998.4","-1120060.1"
"SPY","1609857360000","January 5, 2021 9:36 am","-0.070989974457832","369.42","3397522","1290914.9","-1293326.8"
"SPY","1609857420000","January 5, 2021 9:37 am","0.909737250592","369.67","3530360","1532020.3","-1499903.3"
"SPY","1609857480000","January 5, 2021 9:38 am","6.7292537519789","370.1","3804459","2013063.4","-1757051.7"
"SPY","1609857540000","January 5, 2021 9:39 am","-0.46999471012105","370.04","4213707","2296452.8","-2316257"
"SPY","1609857540000","January 5, 2021 9:39 am","0.29359546464237","369.945","4000743","2163383.7","-2151637.7"
"SPY","1609857600000","January 5, 2021 9:40 am","2.540662045643","370.475","4398881","2450167.8","-2338407.1"
"SPY","1609857600000","January 5, 2021 9:40 am","0.034932587320378","370.19","4283393","2331034.7","-2329538.4"
"SPY","1609857660000","January 5, 2021 9:41 am","6.0097001763668","370.715","4712904","2804241.6","-2521010.2"
"SPY","1609857720000","January 5, 2021 9:42 am","4.9928367112835","370.32","4902776","3049637.5","-2804849.9"
"SPY","1609857780000","January 5, 2021 9:43 am","3.3620780993613","370.32","5039990","3135329.1","-2965880.7"
"SPY","1609857840000","January 5, 2021 9:44 am","9.6423049436847","370.365","5373320","3677959","-3159847.1"
"SPY","1609857840000","January 5, 2021 9:44 am","5.4426108200331","370.27","5221777","3419739.8","-3135538.8"
"SPY","1609857900000","January 5, 2021 9:45 am","9.4960100883171","370.355","5423303","3739146.6","-3224149.2"
"SPY","1609857900000","January 5, 2021 9:45 am","9.8902926011443","370.385","5407566","3740254.2","-3205430.1"
"SPY","1609857960000","January 5, 2021 9:46 am","8.5953984078735","370.23","5515265","3799792","-3325733"
"SPY","1609858020000","January 5, 2021 9:47 am","-0.52109462324678","370.105","5709654","3832456.9","-3862209.6"
"SPY","1609858080000","January 5, 2021 9:48 am","-5.1322266330451","370.165","5966385","3928389.3","-4234597.7"
"SPY","1609858140000","January 5, 2021 9:49 am","-2.1660455499196","370.245","6218101","4325052.8","-4459739.7"
"SPY","1609858140000","January 5, 2021 9:49 am","-0.057798195230255","370.185","6127873","4309250.3","-4312792.1"
"SPY","1609858200000","January 5, 2021 9:50 am","-2.6500879403531","370.4","6295176","4348853.8","-4515681.5"
"SPY","1609858200000","January 5, 2021 9:50 am","-3.1454050795666","370.395","6237540","4303311.9","-4499507.8"
"SPY","1609858260000","January 5, 2021 9:51 am","-1.4881578879653","370.405","6412243","4451195.2","-4546619.5"
"SPY","1609858320000","January 5, 2021 9:52 am","-5.0851772413882","370.315","6520345","4492502.5","-4824073.6"
"SPY","1609858380000","January 5, 2021 9:53 am","-5.5307420977846","370.305","6640796","4544522.7","-4911808"
"SPY","1609858440000","January 5, 2021 9:54 am","-10.320272762271","370.255","6854907","4589657.8","-5297102.9"
"SPY","1609858440000","January 5, 2021 9:54 am","-8.3256208131628","370.155","6747038","4530107.1","-5091839.9"
"SPY","1609858500000","January 5, 2021 9:55 am","-8.2746720320348","370.395","6915462","4669810.7","-5242042.5"
"SPY","1609858500000","January 5, 2021 9:55 am","-9.9226265313032","370.385","6878456","4612731.8","-5295255.3"
"SPY","1609858560000","January 5, 2021 9:56 am","-11.896850501208","370.27","6994605","4673647.7","-5505785.4"
"SPY","1609858620000","January 5, 2021 9:57 am","-15.071178885234","370.235","7037691","4663824.2","-5724487.2"
"SPY","1609858680000","January 5, 2021 9:58 am","-16.842017708635","370.075","7105347","4667102.2","-5863786"
"SPY","1609858740000","January 5, 2021 9:59 am","-20.396312682244","370.165","7299615","4866042.5","-6354894.8"
"SPY","1609858740000","January 5, 2021 9:59 am","-19.320893558047","370.19","7222049","4801143","-6196507.4"
"SPY","1609858800000","January 5, 2021 10:00 am","-11.352428084639","370.615","7619895","5358144.4","-6223187.5"
"SPY","1609858800000","January 5, 2021 10:00 am","-19.392431082941","370.735","7519147","5018610.6","-6476756"
"SPY","1609858860000","January 5, 2021 10:01 am","-20.202182011805","370.515","7730114","5463492.4","-7025144.1"
"SPY","1609858920000","January 5, 2021 10:02 am","-24.009811179497","370.47","7896706","5561208.1","-7457192.3"
"SPY","1609858980000","January 5, 2021 10:03 am","-23.044354194692","370.38","8108117","5788365","-7656828.2"
"SPY","1609859040000","January 5, 2021 10:04 am","-20.152130755293","370.81","8305224","6121971.5","-7795651.1"
"SPY","1609859040000","January 5, 2021 10:04 am","-21.206799348882","370.63","8216022","5927453.2","-7669808.5"
"SPY","1609859100000","January 5, 2021 10:05 am","-18.931299925202","370.915","8407953","6266214.6","-7857949.4"
"SPY","1609859100000","January 5, 2021 10:05 am","-18.771781820236","370.825","8356797","6230916.9","-7799636.6"
"SPY","1609859160000","January 5, 2021 10:06 am","-24.648354482689","370.445","8537376","6156060.1","-8260382.8"
"SPY","1609859220000","January 5, 2021 10:07 am","-25.079176857677","370.42","8673494","6285558","-8460798.9"
"SPY","1609859280000","January 5, 2021 10:08 am","-30.057744149998","370.315","8761407","6235395.7","-8868877"
"SPY","1609859340000","January 5, 2021 10:09 am","-31.939568373193","370.205","8879986","6238333.5","-9074562.7"
"SPY","1609859340000","January 5, 2021 10:09 am","-31.603541322948","370.3","8828678","6216767.5","-9006942.4"
"SPY","1609859400000","January 5, 2021 10:10 am","-32.13668716069","370.255","8909264","6248030.7","-9111173"
"SPY","1609859400000","January 5, 2021 10:10 am","-31.975950637388","370.19","8899529","6247477.6","-9093186.6"
"SPY","1609859460000","January 5, 2021 10:11 am","-28.281770733921","370.49","8943207","6420321.2","-8949618.5"
"SPY","1609859520000","January 5, 2021 10:12 am","-28.065916130697","370.405","9039851","6490337.5","-9027454.5"
"SPY","1609859580000","January 5, 2021 10:13 am","-29.413372557827","370.43","9132389","6460167.3","-9146310.9"
"SPY","1609859640000","January 5, 2021 10:14 am","-29.004143738541","370.415","9219935","6532709.5","-9206872.7"
"SPY","1609859640000","January 5, 2021 10:14 am","-29.015688347242","370.385","9187456","6504490.1","-9170293.7"
"SPY","1609859700000","January 5, 2021 10:15 am","-28.530179830162","370.4","9254343","6561932.9","-9202213.6"
"SPY","1609859700000","January 5, 2021 10:15 am","-28.919273658951","370.45","9243922","6544321.7","-9217596.8"
"SPY","1609859760000","January 5, 2021 10:16 am","-27.789260006126","370.475","9327361","6624344","-9216348.6"
"SPY","1609859820000","January 5, 2021 10:17 am","-29.391443435156","369.955","10470744","6548238.6","-9625741.4"
"SPY","1609859880000","January 5, 2021 10:18 am","-33.962516905564","369.98","10665128","6601986.5","-10224132.4"
"SPY","1609859940000","January 5, 2021 10:19 am","-44.291510095545","369.365","11427714","6308209","-11369716.1"
"SPY","1609859940000","January 5, 2021 10:19 am","-36.574583026686","369.85","10758842","6556949.5","-10491951.1"
"SPY","1609860000000","January 5, 2021 10:20 am","-46.439538620493","369.345","11499167","6381435.5","-11721595.6"
"SPY","1609860000000","January 5, 2021 10:20 am","-45.437623938709","369.4","11476943","6365401.7","-11580251.9"
"SPY","1609860060000","January 5, 2021 10:21 am","-43.514171160247","369.645","11620467","6778161","-11834710.9"
"SPY","1609860120000","January 5, 2021 10:22 am","-44.733640468021","369.635","11692373","6805180.7","-12035604.8"
"SPY","1609860180000","January 5, 2021 10:23 am","-47.992026324223","369.44","11773491","6756338.9","-12406675.8"
"SPY","1609860240000","January 5, 2021 10:24 am","-46.174287207474","369.68","11930365","6975550.3","-12484311.3"
"SPY","1609860240000","January 5, 2021 10:24 am","-47.955863520208","369.545","11848113","6861397.2","-12543262.1"
"SPY","1609860300000","January 5, 2021 10:25 am","-48.380976595615","369.535","11980148","6971207.4","-12767320"
"SPY","1609860300000","January 5, 2021 10:25 am","-46.529301804275","369.65","11939589","7019119.7","-12574527.1"
"SPY","1609860360000","January 5, 2021 10:26 am","-48.206059395687","369.565","12027338","7001500.6","-12799406.3"
"SPY","1609860420000","January 5, 2021 10:27 am","-47.558974099923","369.515","12075640","7040409.8","-12783460.3"
"SPY","1609860480000","January 5, 2021 10:28 am","-45.512686856304","369.73","12151316","7176407.8","-12706798.2"
"SPY","1609860540000","January 5, 2021 10:29 am","-46.835881488512","369.725","12795924","7206299.4","-13199383.2"
"SPY","1609860540000","January 5, 2021 10:29 am","-44.866215914554","369.635","12753647","7170341.3","-12892420.1"
"SPY","1609860600000","January 5, 2021 10:30 am","-45.680727356284","369.76","12838275","7274234.2","-13138851.6"
"SPY","1609860600000","January 5, 2021 10:30 am","-45.864605083275","369.72","12820437","7259918.2","-13139961"
"SPY","1609860660000","January 5, 2021 10:31 am","-51.035112473435","369.45","12912249","7129685.8","-13719466.6"
"SPY","1609860720000","January 5, 2021 10:32 am","-56.502066760657","369.19","13329797","7065386.5","-14596997.3"
"SPY","1609860780000","January 5, 2021 10:33 am","-54.719928768975","369.315","13431226","7206769.4","-14556326.7"
"SPY","1609860840000","January 5, 2021 10:34 am","-51.819953423204","369.4","13844662","7372817.9","-14547115.3"
"SPY","1609860840000","January 5, 2021 10:34 am","-52.013051380274","369.49","13541403","7384281.1","-14427578"
"SPY","1609860900000","January 5, 2021 10:35 am","-53.302171579956","369.365","13866678","7319971.2","-14711211.7"
"SPY","1609860900000","January 5, 2021 10:35 am","-53.092848813475","369.415","13859714","7317909.7","-14676426.7"
"SPY","1609860960000","January 5, 2021 10:36 am","-51.940885185679","369.47","13914414","7421295.1","-14648564.9"
"SPY","1609861020000","January 5, 2021 10:37 am","-51.042707943848","369.495","13963421","7507036.4","-14634344.6"
"SPY","1609861080000","January 5, 2021 10:38 am","-57.799342603205","368.99","14150358","7309346.4","-15488160.3"
"SPY","1609861140000","January 5, 2021 10:39 am","-52.397202214613","369.2","15037751","7545971.2","-15425332"
"SPY","1609861140000","January 5, 2021 10:39 am","-53.734739325934","369.18","14736161","7475417.2","-15393854.9"
"SPY","1609861200000","January 5, 2021 10:40 am","-52.110838212087","369.285","15061737","7574601","-15423398.4"
"SPY","1609861200000","January 5, 2021 10:40 am","-52.029703144662","369.235","15047565","7566230.6","-15395434"
"SPY","1609861260000","January 5, 2021 10:41 am","-52.451369223244","369.21","15102833","7583512.2","-15505154.9"
"SPY","1609861320000","January 5, 2021 10:42 am","-52.727500369409","369.135","15159360","7637631.8","-15630783.4"
"SPY","1609861380000","January 5, 2021 10:43 am","-57.280934285867","368.785","15857502","7400861.7","-16484187"
"SPY","1609861440000","January 5, 2021 10:44 am","-64.443881659728","368.5","16224874","7382642.1","-17838580.7"
"SPY","1609861440000","January 5, 2021 10:44 am","-60.509586117664","368.56","16074182","7437203.2","-17163624.2"
"SPY","1609861500000","January 5, 2021 10:45 am","-64.369819866115","368.46","16258629","7425346.8","-17890997"
"SPY","1609861500000","January 5, 2021 10:45 am","-64.490363096246","368.5","16242250","7391646.6","-17866332.6"
"SPY","1609861560000","January 5, 2021 10:46 am","-58.551097628606","368.83","16926627","7725762.2","-17636488.1"
"SPY","1609861620000","January 5, 2021 10:47 am","-57.528536013648","368.725","17036805","7849989.5","-17651014"
"SPY","1609861680000","January 5, 2021 10:48 am","-55.457825572612","368.885","17632403","7950332.4","-17728879.7"
"SPY","1609861740000","January 5, 2021 10:49 am","-55.114758794995","369.13","17836280","8239207.4","-18069630.1"
"SPY","1609861740000","January 5, 2021 10:49 am","-57.526290665131","368.815","17703527","7940089","-18124271.4"
"SPY","1609861800000","January 5, 2021 10:50 am","-54.661329511326","369.225","17868445","8295097.7","-18062227.3"
"SPY","1609861800000","January 5, 2021 10:50 am","-55.133184730858","369.2","17856589","8243125.4","-18088031.6"
