"Symbol","Timestamp","Human Time","NOPE","Stock Price","Stock Volume","Call Net Delta * Volume","Put Net Delta * Volume"
"SPY","1614781860000","March 3, 2021 9:31 am","-0.76188105840821","386.125","3579942","331730.3","-359005.2"
"SPY","1614781920000","March 3, 2021 9:32 am","0.8133715144519","386.465","4169251","725547.8","-691636.3"
"SPY","1614781980000","March 3, 2021 9:33 am","5.4269290194557","386.695","4666490","1239047.5","-985800.4"
"SPY","1614782040000","March 3, 2021 9:34 am","3.8322320321174","386.705","5064161","1462945.4","-1268875"
"SPY","1614782100000","March 3, 2021 9:35 am","0.23739911097127","386.505","5542228","1581596.3","-1568439.1"
"SPY","1614782160000","March 3, 2021 9:36 am","-2.0684615780477","386.375","6004419","1823925.6","-1948124.7"
"SPY","1614782220000","March 3, 2021 9:37 am","-6.0803605368646","386.165","6455706","1850338","-2242868.2"
"SPY","1614782280000","March 3, 2021 9:38 am","-9.4649931317287","385.835","6849613","1966554.4","-2614869.8"
"SPY","1614782340000","March 3, 2021 9:39 am","-14.875685074342","385.565","7411057","2119284.8","-3221730.3"
"SPY","1614782400000","March 3, 2021 9:40 am","-15.968587298269","385.625","7759982","2371803.4","-3610962.9"
"SPY","1614782460000","March 3, 2021 9:41 am","-19.34805559266","385.155","8219934","2514039.6","-4104437"
"SPY","1614782520000","March 3, 2021 9:42 am","-19.844899459457","385.615","8651485","2579379.1","-4296257.6"
"SPY","1614782580000","March 3, 2021 9:43 am","-22.346886345625","385.215","8905966","2863206.4","-4853412.5"
"SPY","1614782640000","March 3, 2021 9:44 am","-26.421302490641","384.925","9394770","2945717.6","-5427938.2"
"SPY","1614782700000","March 3, 2021 9:45 am","-22.656378096382","385.235","9911970","3342896","-5588589.4"
"SPY","1614782760000","March 3, 2021 9:46 am","-27.84424293123","384.905","10394135","3395420.1","-6289588.3"
"SPY","1614782820000","March 3, 2021 9:47 am","-30.568954163938","384.815","10896115","3598922.9","-6929751.3"
"SPY","1614782880000","March 3, 2021 9:48 am","-27.587892596303","385.115","11309741","3908717.3","-7028836.5"
"SPY","1614782940000","March 3, 2021 9:49 am","-24.861240741593","385.365","11585281","4201704","-7081948.6"
"SPY","1614783000000","March 3, 2021 9:50 am","-17.646318547947","385.845","12102806","4756253.2","-6891952.9"
"SPY","1614783060000","March 3, 2021 9:51 am","-10.900787057172","386.015","12492231","5490521.3","-6852272.8"
"SPY","1614783120000","March 3, 2021 9:52 am","-15.277556978577","385.715","12853559","5423712.6","-7387422.4"
"SPY","1614783180000","March 3, 2021 9:53 am","-8.3093226524961","386.205","13158519","6059828.3","-7153212.1"
"SPY","1614783240000","March 3, 2021 9:54 am","-10.556094074737","386.115","13390630","6210352.2","-7623879.7"
"SPY","1614783300000","March 3, 2021 9:55 am","-12.972397962081","385.915","13610553","6170725.8","-7936340.9"
"SPY","1614783360000","March 3, 2021 9:56 am","-12.616083109785","386.025","13896703","6310316.3","-8063535.9"
"SPY","1614783420000","March 3, 2021 9:57 am","-18.944913656643","385.555","14155287","6099517","-8781223.9"
"SPY","1614783480000","March 3, 2021 9:58 am","-31.470839985577","385.185","14501999","5853681.7","-10417582.6"
"SPY","1614783540000","March 3, 2021 9:59 am","-36.628869965406","384.815","15119838","5774214.3","-11312440.1"
"SPY","1614783600000","March 3, 2021 10:00 am","-44.713748638269","384.56","16036570","5580483.3","-12751034.9"
"SPY","1614783660000","March 3, 2021 10:01 am","-44.68875985072","384.395","16446641","6004313.3","-13354113.2"
"SPY","1614783720000","March 3, 2021 10:02 am","-49.075810103894","384.345","16878977","6140165.4","-14423660.1"
"SPY","1614783780000","March 3, 2021 10:03 am","-47.98735529578","384.285","17188856","6486704.3","-14735181.7"
"SPY","1614783840000","March 3, 2021 10:04 am","-41.453595156902","384.665","17543977","7060046.8","-14332656"
"SPY","1614783900000","March 3, 2021 10:05 am","-42.988107802706","384.525","17918808","7159723.8","-14862680.3"
"SPY","1614783960000","March 3, 2021 10:06 am","-45.027440710127","384.345","18161702","7140002.6","-15317752.2"
"SPY","1614784020000","March 3, 2021 10:07 am","-48.106295100247","384.305","18700147","7270729.9","-16266677.8"
"SPY","1614784080000","March 3, 2021 10:08 am","-50.482971392023","384.235","19011830","7357383.3","-16955120"
"SPY","1614784140000","March 3, 2021 10:09 am","-41.065042470745","384.755","19486237","8244195.5","-16246227"
"SPY","1614784200000","March 3, 2021 10:10 am","-39.653222316447","384.815","19833139","8776720.7","-16641199.4"
"SPY","1614784260000","March 3, 2021 10:11 am","-43.123614291584","384.565","20629791","8661795.7","-17558107.2"
"SPY","1614784320000","March 3, 2021 10:12 am","-53.335716917365","384.035","21067714","8415993.2","-19652609.5"
"SPY","1614784380000","March 3, 2021 10:13 am","-57.336424647237","383.975","21391120","8390373.5","-20655276.9"
"SPY","1614784440000","March 3, 2021 10:14 am","-55.884754861473","383.875","21835715","8644650.6","-20847486.4"
"SPY","1614784500000","March 3, 2021 10:15 am","-58.473865646325","383.795","22237531","8624626.2","-21627770.2"
"SPY","1614784560000","March 3, 2021 10:16 am","-63.433624967376","383.345","22609729","8644653.6","-22986824.3"
"SPY","1614784620000","March 3, 2021 10:17 am","-60.183142997602","383.615","23057065","9105973.2","-22982439.6"
"SPY","1614784680000","March 3, 2021 10:18 am","-66.889305519295","383.475","23575385","8526167.3","-24295578.6"
"SPY","1614784740000","March 3, 2021 10:19 am","-65.013359850718","383.535","23840461","9300798","-24800282.7"
"SPY","1614784800000","March 3, 2021 10:20 am","-64.347647639631","383.485","24160095","9664827.8","-25211280.6"
"SPY","1614784860000","March 3, 2021 10:21 am","-57.059713333403","383.735","24659099","10472895.5","-24543306.7"
"SPY","1614784920000","March 3, 2021 10:22 am","-63.602296583874","383.505","25001656","10265537.1","-26167164.5"
"SPY","1614784980000","March 3, 2021 10:23 am","-58.492963770451","383.865","25414890","10998734.4","-25864656.8"
"SPY","1614785040000","March 3, 2021 10:24 am","-57.833372142742","383.84","25779831","11311943.2","-26221288.8"
"SPY","1614785100000","March 3, 2021 10:25 am","-52.448989914564","384.265","26234959","11992329.3","-25752300.3"
"SPY","1614785160000","March 3, 2021 10:26 am","-45.635735857689","384.555","26727138","12854654.8","-25051780.9"
"SPY","1614785220000","March 3, 2021 10:27 am","-44.462388166388","384.595","27106788","13013395","-25065720.3"
"SPY","1614785280000","March 3, 2021 10:28 am","-52.746908510774","384.095","27324048","12305293.8","-26717884.4"
"SPY","1614785340000","March 3, 2021 10:29 am","-59.156827723749","383.855","27607810","11903744.5","-28235649.1"
"SPY","1614785400000","March 3, 2021 10:30 am","-56.207478099957","383.71","27933165","12347433.3","-28047960.9"
"SPY","1614785460000","March 3, 2021 10:31 am","-66.842708970826","383.375","28268300","11713902.2","-30609199.7"
"SPY","1614785520000","March 3, 2021 10:32 am","-63.142657406561","383.525","28583402","12280394.4","-30328714"
"SPY","1614785580000","March 3, 2021 10:33 am","-54.246978495553","384.065","28972984","13081819.2","-28798787.6"
"SPY","1614785640000","March 3, 2021 10:34 am","-44.22759893493","384.445","29354698","14556453.8","-27539331.9"
"SPY","1614785700000","March 3, 2021 10:35 am","-42.979598213761","384.485","29794450","14781325.3","-27586860.2"
"SPY","1614785760000","March 3, 2021 10:36 am","-45.881693652256","384.335","30057339","14530946.2","-28321762.4"
"SPY","1614785820000","March 3, 2021 10:37 am","-43.538784896662","384.475","30375935","14929185.3","-28154498.3"
"SPY","1614785880000","March 3, 2021 10:38 am","-39.197492717644","384.605","30588657","15584782.1","-27574768.7"
"SPY","1614785940000","March 3, 2021 10:39 am","-39.564921769695","384.555","30867897","15669502.3","-27882361.6"
"SPY","1614786000000","March 3, 2021 10:40 am","-36.218135105459","384.695","31222173","16234845.9","-27542934.7"
"SPY","1614786060000","March 3, 2021 10:41 am","-43.300670214597","384.285","31681196","15658268","-29376438.2"
"SPY","1614786120000","March 3, 2021 10:42 am","-46.61910828813","384.285","32029337","15308525.8","-30240317.1"
"SPY","1614786180000","March 3, 2021 10:43 am","-43.488662961637","384.345","32248237","16251705.4","-30276032.5"
"SPY","1614786240000","March 3, 2021 10:44 am","-51.007946809749","384.015","32513928","15276305","-31860992.1"
"SPY","1614786300000","March 3, 2021 10:45 am","-50.226984983757","383.955","32856755","15770170.5","-32273127.9"
"SPY","1614786360000","March 3, 2021 10:46 am","-42.452344227191","384.325","33177565","16788994.4","-30873648.5"
"SPY","1614786420000","March 3, 2021 10:47 am","-27.26313750044","385.065","33709114","18918459.1","-28108621.2"
"SPY","1614786480000","March 3, 2021 10:48 am","-29.044580660975","384.925","34009904","18777286.3","-28655320.3"
"SPY","1614786540000","March 3, 2021 10:49 am","-37.739512121224","384.525","34351894","17719006.6","-30683243.8"
"SPY","1614786600000","March 3, 2021 10:50 am","-34.167481405111","384.675","34583696","18334452.6","-30150830.5"
"SPY","1614786660000","March 3, 2021 10:51 am","-35.057262648815","384.655","34994801","18332352.9","-30600572.2"
"SPY","1614786720000","March 3, 2021 10:52 am","-37.148831544816","384.475","35266650","18146957.8","-31248106.2"
"SPY","1614786780000","March 3, 2021 10:53 am","-31.639944584693","384.835","35466735","18777608.4","-29999263.7"
"SPY","1614786840000","March 3, 2021 10:54 am","-34.893795189019","384.495","35738494","18604100.8","-31074617.7"
"SPY","1614786900000","March 3, 2021 10:55 am","-33.030971975041","384.635","35891899","18907643.9","-30763087"
"SPY","1614786960000","March 3, 2021 10:56 am","-32.829987062277","384.605","36140826","18846174.5","-30711203"
"SPY","1614787020000","March 3, 2021 10:57 am","-34.683473381947","384.505","36294183","18845255.5","-31433338.8"
"SPY","1614787080000","March 3, 2021 10:58 am","-30.534515690481","384.905","36509555","19574756.3","-30722772.1"
"SPY","1614787140000","March 3, 2021 10:59 am","-17.68465991124","385.335","37193996","21589363.7","-28166995.4"
"SPY","1614787200000","March 3, 2021 11:00 am","-20.847241421541","385.095","37381246","21419838.9","-29212797.5"
"SPY","1614787260000","March 3, 2021 11:01 am","-17.478009705753","385.275","37597496","22062157","-28633451"
"SPY","1614787320000","March 3, 2021 11:02 am","-10.612945398845","385.595","37901451","23444784.4","-27467244.7"
"SPY","1614787380000","March 3, 2021 11:03 am","-17.886665747192","385.255","38326242","22310670.7","-29165957.5"
"SPY","1614787440000","March 3, 2021 11:04 am","-17.29248986304","385.275","38514504","22521789.8","-29181906.5"
"SPY","1614787500000","March 3, 2021 11:05 am","-16.587612719251","385.325","38667308","22738981.3","-29152964.6"
"SPY","1614787560000","March 3, 2021 11:06 am","-12.75670679899","385.46","38826309","23515241.7","-28468200.1"
"SPY","1614787620000","March 3, 2021 11:07 am","-10.48952205198","385.565","38919023","23974937.8","-28057357.3"
"SPY","1614787680000","March 3, 2021 11:08 am","-7.291593912155","385.755","39215781","24202524.8","-27061980.3"
"SPY","1614787740000","March 3, 2021 11:09 am","-12.635691917213","385.535","39560094","24082434.9","-29081126.5"
"SPY","1614787800000","March 3, 2021 11:10 am","-15.140096863653","385.48","39546103","23766050.5","-29753368.8"
"SPY","1614787860000","March 3, 2021 11:11 am","-16.864501457599","385.385","39775343","23925918.6","-30633831.9"
"SPY","1614787920000","March 3, 2021 11:12 am","-18.10566045469","385.295","39916334","23658620","-30885735.9"
"SPY","1614787980000","March 3, 2021 11:13 am","-16.325381897002","385.435","40060016","24327905.6","-30867856.2"
"SPY","1614788040000","March 3, 2021 11:14 am","-17.033750808565","385.365","40270413","24319994.7","-31179556.5"
"SPY","1614788100000","March 3, 2021 11:15 am","-19.484311274402","385.22","40563811","23926695.6","-31830274.8"
"SPY","1614788160000","March 3, 2021 11:16 am","-25.047562601518","384.965","40777206","23120248.1","-33333944.3"
"SPY","1614788220000","March 3, 2021 11:17 am","-24.21049912855","384.955","40982849","23381921.5","-33304073.8"
"SPY","1614788280000","March 3, 2021 11:18 am","-12.765778048298","385.475","41261995","25592086","-30859500.7"
"SPY","1614788340000","March 3, 2021 11:19 am","-7.5485553257052","385.795","41529430","26639083.8","-29773955.8"
"SPY","1614788400000","March 3, 2021 11:20 am","-2.0745896236096","385.905","41817586","27954058.2","-28821601.5"
"SPY","1614788460000","March 3, 2021 11:21 am","-1.5949296021909","385.975","42060684","28213165","-28884003.3"
"SPY","1614788520000","March 3, 2021 11:22 am","0.19410099331898","385.975","42228635","28718143.8","-28636177.6"
"SPY","1614788580000","March 3, 2021 11:23 am","1.3144136593006","386.035","42378919","29052638.1","-28495603.8"
"SPY","1614788640000","March 3, 2021 11:24 am","3.2487866849598","386.165","42669462","29633233","-28246993.2"
"SPY","1614788700000","March 3, 2021 11:25 am","3.2307579396897","386.155","42783945","29714342","-28332096.3"
"SPY","1614788760000","March 3, 2021 11:26 am","1.8669090912476","386.075","42963190","29535654.8","-28733571.1"
"SPY","1614788820000","March 3, 2021 11:27 am","0.53668944866629","386.055","43148100","29372151.6","-29140580.3"
"SPY","1614788880000","March 3, 2021 11:28 am","0.070653676886053","386.135","43298242","29456570.8","-29425979"
"SPY","1614788940000","March 3, 2021 11:29 am","4.7535883762748","386.285","43411487","30525967.9","-28462364.5"
"SPY","1614789000000","March 3, 2021 11:30 am","5.903805723839","386.315","43515375","30884090.2","-28315027"
"SPY","1614789060000","March 3, 2021 11:31 am","6.3723384360976","386.345","43399484","31169377.2","-28403815.2"
"SPY","1614789120000","March 3, 2021 11:32 am","8.1359406891984","386.405","43544446","31723292.7","-28180542.4"
"SPY","1614789180000","March 3, 2021 11:33 am","4.4853477053889","386.195","43668075","30843099.4","-28884434.4"
"SPY","1614789240000","March 3, 2021 11:34 am","3.6925543854995","386.205","43785936","30768533.5","-29151714"
"SPY","1614789300000","March 3, 2021 11:35 am","3.3976726259769","386.165","43912409","30767605","-29275605.1"
"SPY","1614789360000","March 3, 2021 11:36 am","3.1804445674614","386.175","44019236","30756153.4","-29356146"
"SPY","1614789420000","March 3, 2021 11:37 am","5.0455243508373","386.245","44179323","31272817.1","-29043738.6"
"SPY","1614789480000","March 3, 2021 11:38 am","-4.0543103278359","385.805","44342358","29466944.9","-31264721.7"
"SPY","1614789540000","March 3, 2021 11:39 am","1.129556976438","386.065","44589818","30721497.8","-30217830.4"
"SPY","1614789600000","March 3, 2021 11:40 am","-3.3280235054059","385.845","44784251","29885265.3","-31375695.7"
"SPY","1614789660000","March 3, 2021 11:41 am","-4.9197044195615","385.745","44892010","29607542.1","-31816096.3"
"SPY","1614789720000","March 3, 2021 11:42 am","-3.4023680026679","385.805","45050456","30057740.8","-31590523.1"
"SPY","1614789780000","March 3, 2021 11:43 am","-11.542197306387","385.455","45272949","28461219.9","-33686713"
"SPY","1614789840000","March 3, 2021 11:44 am","-11.452502444727","385.495","45379304","28912890.1","-34109956"
"SPY","1614789900000","March 3, 2021 11:45 am","-11.321914438435","385.575","45466513","28982672.3","-34130352"
"SPY","1614789960000","March 3, 2021 11:46 am","-9.4988186053711","385.675","45565638","29431644.5","-33759841.8"
"SPY","1614790020000","March 3, 2021 11:47 am","-7.1337472003773","385.735","45663296","30031488.8","-33288992.9"
"SPY","1614790080000","March 3, 2021 11:48 am","-10.819184591345","385.635","45747589","29392661.9","-34342178"
"SPY","1614790140000","March 3, 2021 11:49 am","-14.881603588394","385.445","45888384","28654787.9","-35483715.3"
"SPY","1614790200000","March 3, 2021 11:50 am","-11.969215615811","385.555","45987082","29343752.2","-34848045.2"
"SPY","1614790260000","March 3, 2021 11:51 am","-5.3894980358321","385.905","46099167","30776307.6","-33260821.3"
"SPY","1614790320000","March 3, 2021 11:52 am","-8.4983609314456","385.755","46188123","30406026.6","-34331260"
"SPY","1614790380000","March 3, 2021 11:53 am","-2.355732138404","386.075","46576815","31791017.3","-32888242.3"
"SPY","1614790440000","March 3, 2021 11:54 am","-0.51061906526483","386.115","46680474","32318492.4","-32556851.8"
"SPY","1614790500000","March 3, 2021 11:55 am","-6.1471030776103","385.865","46774018","31141271.1","-34016518.2"
"SPY","1614790560000","March 3, 2021 11:56 am","-6.2943154149775","385.855","47081924","31055750.1","-34019234.9"
"SPY","1614790620000","March 3, 2021 11:57 am","-5.7611907430323","385.915","47425984","31341841.7","-34074143.1"
"SPY","1614790680000","March 3, 2021 11:58 am","-3.6873729748927","385.915","47519641","31834666.6","-33586893"
"SPY","1614790740000","March 3, 2021 11:59 am","-8.4619780446257","385.715","47881033","30802563.6","-34854246.1"
"SPY","1614790800000","March 3, 2021 12:00 pm","-15.396780597113","385.365","48104759","29503551","-36910135.2"
"SPY","1614790860000","March 3, 2021 12:01 pm","-18.37979190836","385.285","48649720","28989277.3","-37930994.6"
"SPY","1614790920000","March 3, 2021 12:02 pm","-18.630106453023","385.325","48731918","29017784.2","-38096592.4"
"SPY","1614790980000","March 3, 2021 12:03 pm","-17.491507314569","385.375","48807589","29319352","-37856535"
"SPY","1614791040000","March 3, 2021 12:04 pm","-18.322733177319","385.275","48889532","29186077","-38143975.5"
"SPY","1614791100000","March 3, 2021 12:05 pm","-19.023756495689","385.305","48967281","29050222","-38365638.3"
"SPY","1614791160000","March 3, 2021 12:06 pm","-17.915118835376","385.265","49150221","29344809.9","-38150130.4"
"SPY","1614791220000","March 3, 2021 12:07 pm","-20.020859978559","385.205","49232553","29024857.9","-38881638.4"
"SPY","1614791280000","March 3, 2021 12:08 pm","-20.644293990251","385.235","49300941","28929264.3","-39107095.5"
"SPY","1614791340000","March 3, 2021 12:09 pm","-19.137904312243","385.305","49371248","29325912","-38774534.2"
"SPY","1614791400000","March 3, 2021 12:10 pm","-18.451566482158","385.285","49440844","29513489.8","-38636100"
"SPY","1614791460000","March 3, 2021 12:11 pm","-18.507269472639","385.295","49502009","29553302.1","-38714772.3"
"SPY","1614791520000","March 3, 2021 12:12 pm","-18.485488643502","385.285","49651044","29610409.6","-38788647.7"
"SPY","1614791580000","March 3, 2021 12:13 pm","-22.346562901761","385.085","49739617","28858950","-39974044.8"
"SPY","1614791640000","March 3, 2021 12:14 pm","-18.6759429343","385.335","49800633","29733501.3","-39034239.1"
"SPY","1614791700000","March 3, 2021 12:15 pm","-11.883651177946","385.575","49943849","31300156","-37235308.8"
"SPY","1614791760000","March 3, 2021 12:16 pm","-18.721584326845","385.315","50070123","29856279.3","-39230199.6"
"SPY","1614791820000","March 3, 2021 12:17 pm","-16.460215995258","385.435","50142212","30488521.7","-38742038.1"
