date_date,Ticker,Share_Volume,Call_Delta,Put_Delta,Call_Volume,Put_Volume,Total_Option_Delta,NOPE,NOPE_MAD,uniqueKey,ticker,date,open,high,low,close,adjustedClose,volume,nextDay_date,nextDay_open,nextDay_high,nextDay_low,nextDay_close,nextDay_adjClose,nextDay_volume,isDayBeforeExDiv,Min2Day_date,Min3Day_date,Min5Day_date,Min14Day_date,Min30Day_date,Min2Day_closeLow,Min3Day_closeLow,Min5Day_closeLow,Min14Day_closeLow,Min30Day_closeLow,Min2Day_%diff,Min3Day_%diff,Min5Day_%diff,Min14Day_%diff,Min30Day_%diff
1/3/07,SPY,94807600,4015436,-4588362,83675,110641,-572926,-0.6043,0,SPY2007-01-03,SPY,1/3/07 0:00,142.25,142.860001,140.570007,141.369995,106.932106,94807600,1/4/07 0:00,141.229996,142.050003,140.610001,141.669998,107.159027,69620600,FALSE,1/5/07 0:00,1/5/07 0:00,1/5/07 0:00,1/5/07 0:00,1/5/07 0:00,140.539993,140.539993,140.539993,140.539993,140.539993,-0.587%,-0.587%,-0.587%,-0.587%,-0.587%
1/4/07,SPY,69620600,3095035,-6823351,65015,228752,-3728316,-5.3552,0,SPY2007-01-04,SPY,1/4/07 0:00,141.229996,142.050003,140.610001,141.669998,107.159027,69620600,1/5/07 0:00,141.330002,141.399994,140.380005,140.539993,106.304283,76645300,FALSE,1/5/07 0:00,1/5/07 0:00,1/5/07 0:00,1/5/07 0:00,1/5/07 0:00,140.539993,140.539993,140.539993,140.539993,140.539993,-0.798%,-0.798%,-0.798%,-0.798%,-0.798%
1/5/07,SPY,76645300,2472935,-6165907,63374,129480,-3692971,-4.8183,-0.774,SPY2007-01-05,SPY,1/5/07 0:00,141.330002,141.399994,140.380005,140.539993,106.304283,76645300,1/8/07 0:00,140.820007,141.410004,140.25,141.190002,106.795998,71655000,FALSE,1/9/07 0:00,1/9/07 0:00,1/9/07 0:00,1/9/07 0:00,1/9/07 0:00,141.070007,141.070007,141.070007,141.070007,141.070007,0.377%,0.377%,0.377%,0.377%,0.377%
1/8/07,SPY,71655000,3148909,-3611265,64777,94698,-462356,-0.6453,7.7724,SPY2007-01-08,SPY,1/8/07 0:00,140.820007,141.410004,140.25,141.190002,106.795998,71655000,1/9/07 0:00,141.309998,141.600006,140.399994,141.070007,106.705185,75680100,FALSE,1/9/07 0:00,1/9/07 0:00,1/9/07 0:00,1/9/07 0:00,1/9/07 0:00,141.070007,141.070007,141.070007,141.070007,141.070007,-0.085%,-0.085%,-0.085%,-0.085%,-0.085%
1/9/07,SPY,75680100,7639581,-4398772,122671,114675,3240809,4.2822,3.3289,SPY2007-01-09,SPY,1/9/07 0:00,141.309998,141.600006,140.399994,141.070007,106.705185,75680100,1/10/07 0:00,140.580002,141.570007,140.300003,141.539993,107.060715,72428000,FALSE,1/10/07 0:00,1/10/07 0:00,1/10/07 0:00,1/10/07 0:00,1/10/07 0:00,141.539993,141.539993,141.539993,141.539993,141.539993,0.333%,0.333%,0.333%,0.333%,0.333%
1/10/07,SPY,72428000,3191628,-4620138,64254,154911,-1428510,-1.9723,-0.318,SPY2007-01-10,SPY,1/10/07 0:00,140.580002,141.570007,140.300003,141.539993,107.060715,72428000,1/11/07 0:00,141.580002,142.619995,141.5,142.160004,107.529678,54476800,FALSE,1/11/07 0:00,1/11/07 0:00,1/11/07 0:00,1/29/07 0:00,1/29/07 0:00,142.160004,142.160004,142.160004,142.050003,142.050003,0.438%,0.438%,0.438%,0.360%,0.360%
1/11/07,SPY,54476800,3453554,-5756132,81302,163613,-2302578,-4.2267,-1.3849,SPY2007-01-11,SPY,1/11/07 0:00,141.580002,142.619995,141.5,142.160004,107.529678,54476800,1/12/07 0:00,142.149994,143.240005,142.110001,143.240005,108.346596,55370600,FALSE,1/16/07 0:00,1/16/07 0:00,1/18/07 0:00,1/29/07 0:00,1/29/07 0:00,142.960007,142.960007,142.539993,142.050003,142.050003,0.563%,0.563%,0.267%,-0.077%,-0.077%
1/12/07,SPY,55370600,3169037,-5002777,62239,155858,-1833740,-3.3118,-0.5942,SPY2007-01-12,SPY,1/12/07 0:00,142.149994,143.240005,142.110001,143.240005,108.346596,55370600,1/16/07 0:00,143.070007,143.440002,142.729996,142.960007,108.134789,44871300,FALSE,1/16/07 0:00,1/18/07 0:00,1/22/07 0:00,1/29/07 0:00,2/27/07 0:00,142.960007,142.539993,142.380005,142.050003,139.5,-0.195%,-0.489%,-0.600%,-0.831%,-2.611%
1/16/07,SPY,44871300,5150596,-6661622,97833,157458,-1511026,-3.3675,-0.3596,SPY2007-01-16,SPY,1/16/07 0:00,143.070007,143.440002,142.729996,142.960007,108.134789,44871300,1/17/07 0:00,142.850006,143.460007,142.729996,143.020004,108.180206,50241400,FALSE,1/18/07 0:00,1/18/07 0:00,1/22/07 0:00,1/29/07 0:00,2/27/07 0:00,142.539993,142.539993,142.380005,142.050003,139.5,-0.294%,-0.294%,-0.406%,-0.637%,-2.420%
1/17/07,SPY,50241400,4779031,-5759640,84316,146862,-980608,-1.9518,0.9028,SPY2007-01-17,SPY,1/17/07 0:00,142.850006,143.460007,142.729996,143.020004,108.180206,50241400,1/18/07 0:00,143.169998,143.259995,142.309998,142.539993,107.817131,68177300,FALSE,1/18/07 0:00,1/22/07 0:00,1/22/07 0:00,1/29/07 0:00,2/27/07 0:00,142.539993,142.380005,142.380005,142.050003,139.5,-0.336%,-0.447%,-0.447%,-0.678%,-2.461%
1/18/07,SPY,68177300,2795773,-6217955,59282,128679,-3422182,-5.0195,-1.3277,SPY2007-01-18,SPY,1/18/07 0:00,143.169998,143.259995,142.309998,142.539993,107.817131,68177300,1/19/07 0:00,142.539993,143.100006,142.460007,142.820007,108.028908,56973000,FALSE,1/22/07 0:00,1/22/07 0:00,1/25/07 0:00,1/29/07 0:00,3/2/07 0:00,142.380005,142.380005,142.259995,142.050003,138.669998,-0.112%,-0.112%,-0.196%,-0.344%,-2.715%
1/19/07,SPY,56973000,8505262,-9513110,120820,232922,-1007848,-1.769,1.0241,SPY2007-01-19,SPY,1/19/07 0:00,142.539993,143.100006,142.460007,142.820007,108.028908,56973000,1/22/07 0:00,143.070007,143.100006,141.929993,142.380005,107.696121,60253600,FALSE,1/22/07 0:00,1/22/07 0:00,1/26/07 0:00,1/29/07 0:00,3/5/07 0:00,142.380005,142.380005,142.130005,142.050003,137.350006,-0.308%,-0.308%,-0.483%,-0.539%,-3.830%
